id,urlid,url,category
7,0,http://www.bioone.org/doi/abs/10.3356/JRR-09-28.1,uncategorized
19,0,http://www.bmj.com/content/349/bmj.g6015,uncategorized
19,1,http://www.bmj.com/content/349/bmj.g6205,uncategorized
24,0,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0110489,uncategorized
33,0,https://dx.doi.org/doi:10.1016/j.devcel.2014.09.005,uncategorized
37,0,http://onlinelibrary.wiley.com/doi/10.1111/cogs.12183/abstract,uncategorized
46,0,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0109126,uncategorized
66,0,http://onlinelibrary.wiley.com/doi/10.1002/hep.27367/abstract,uncategorized
86,0,http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003887,uncategorized
90,0,http://onlinelibrary.wiley.com/doi/10.1111/1753-6405.12264/abstract,uncategorized
98,0,http://pubs.acs.org/doi/abs/10.1021/ie503057g,uncategorized
98,1,https://www.eurekalert.org/pub_releases/2014-10/acs-dca101514.php,uncategorized
124,0,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0108887,uncategorized
149,0,http://pubs.acs.org/doi/abs/10.1021/jf200149a,uncategorized
155,0,http://onlinelibrary.wiley.com/doi/10.1002/adma.201404123/abstract,uncategorized
170,0,https://www.vox.com/2014/11/21/7259207/scientific-paper-scam,uncategorized
178,0,http://www.nejm.org/doi/full/10.1056/NEJMp1113569,uncategorized
185,0,http://onlinelibrary.wiley.com/doi/10.1002/anie.201408492/abstract,uncategorized
220,0,http://www.plosone.org/article/authors/info%3Adoi%2F10.1371%2Fjournal.pone.0112430,uncategorized
230,0,http://pubs.acs.org/doi/abs/10.1021/es503445c,uncategorized
260,0,http://onlinelibrary.wiley.com/doi/10.1002/cncr.29063/full,uncategorized
260,1,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0108359,uncategorized
265,0,http://onlinelibrary.wiley.com/doi/10.1111/jcom.12129/full,uncategorized
266,0,https://www6.slac.stanford.edu/news/2014-11-05-researchers-hit-milestone-accelerating-particles-plasma.aspx,uncategorized
281,0,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0110490,uncategorized
282,0,http://onlinelibrary.wiley.com/doi/10.1111/1469-0691.12807/abstract,uncategorized
287,0,http://pubs.acs.org/doi/abs/10.1021/ja5059026,uncategorized
293,0,http://www.plosgenetics.org/article/info%3Adoi%2F10.1371%2Fjournal.pgen.1004525,uncategorized
298,0,http://www.tandfonline.com/doi/abs/10.1080/13554794.2013.873056#.VFb-oPSUcX5,uncategorized
299,0,http://www.plosone.org/article/info:doi/10.1371/journal.pone.0111081,uncategorized
310,0,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0115427,uncategorized
325,0,https://io9.gizmodo.com/5613155/when-spaghetti-snaps,uncategorized
330,0,http://onlinelibrary.wiley.com/doi/10.1002/anie.201409890/abstract;jsessionid=1B9646C99104EC535111F16B60C2AC51.f03t04,uncategorized
347,0,http://www.plosgenetics.org/article/info%3Adoi%2F10.1371%2Fjournal.pgen.1004884,uncategorized
391,0,http://www.bmj.com/content/349/bmj.g7094,uncategorized
403,0,http://www.tandfonline.com/doi/pdf/10.1080/21663831.2014.985855,uncategorized
403,1,http://www.tandfonline.com/doi/pdf/10.1080/21663831.2014.912690,uncategorized
403,2,http://www.tandfonline.com/doi/abs/10.1080/21663831.2014.985855#.VIiPE8lAeQJ,uncategorized
404,0,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0111913,uncategorized
434,0,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0060550,uncategorized
435,0,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0057756#pone.0057756-Wilkinson1,uncategorized
436,0,http://onlinelibrary.wiley.com/doi/10.1111/j.1945-5100.1998.tb01665.x/abstract,uncategorized
460,0,http://www.pnas.org/cgi/doi/10.1073/pnas.1410162111,uncategorized
466,0,http://onlinelibrary.wiley.com/doi/10.1111/anae.12826/abstract,uncategorized
467,0,"https://commons.wikimedia.org/wiki/File:Erasmus_Quellinus_(II)-_Jason_with_the_Golden_Fleece,_1630.jpg",uncategorized
474,0,http://www.tandfonline.com/doi/abs/10.1080/02724634.2014.889701#.VMuD_8Y_uBI,uncategorized
492,0,http://onlinelibrary.wiley.com/doi/10.1002/anie.201408211/abstract,uncategorized
493,0,http://onlinelibrary.wiley.com/doi/10.1002/mnfr.201400485/abstract,uncategorized
507,0,http://pubs.acs.org/doi/abs/10.1021/es060836n,uncategorized
513,0,http://onlinelibrary.wiley.com/doi/10.1002/cbic.201402427/abstract,uncategorized
515,0,http://pubs.acs.org/doi/abs/10.1021/nl503614v,uncategorized
516,0,http://onlinelibrary.wiley.com/doi/10.1002/jgrg.20018/abstract,uncategorized
520,0,http://www.esa.int/Our_Activities/Space_Science/Herschel_intercepts_asteroid_Apophis,uncategorized
522,0,http://www.esa.int/spaceinimages/Images/2015/01/Comet_regional_maps,uncategorized
530,0,http://pubs.acs.org/doi/ipdf/10.1021/nn507097k,uncategorized
537,0,http://www.annualreviews.org/doi/abs/10.1146/annurev.ento.47.091201.145100,uncategorized
537,1,http://online.liebertpub.com/doi/abs/10.1089/vbz.2007.0152,uncategorized
540,0,http://scitation.aip.org/content/aip/journal/jap/117/3/10.1063/1.4905616,uncategorized
543,0,http://pubs.acs.org/doi/abs/10.1021/es505329q,uncategorized
545,0,http://onlinelibrary.wiley.com/doi/10.1002/jmor.10959/abstract,uncategorized
